brand,phone_name,phone_price,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi6,226,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi Max 2,241,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi5x,165,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Note 5A,135,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi A1,175,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi Mix 2,233,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi Note 3,195,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 5A,141,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 5 Plus,150,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 5,118,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Note 5,128,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi Mix 2s,336,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi 6x,194,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi S2,140,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi8,260,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi8 SE,241,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 6A,94,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 6,117,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 6 Pro,156,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi Max 3,190,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi A2,155,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi A2 Lite,157,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Pocophone F1,313,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Note 6 Pro,140,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi8 Lite,170,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi Mix 3,422,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi8 Pro,350,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi Play,124,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Note 7,140,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Go,103,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi 9 SE,292,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi 9,379,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi Mix 3 5G,400,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 7,112,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi 7A,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi K20 Pro,342,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi K20,270,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi 9T,262,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi CC9,224,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi CC9e,217,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi 9T Pro,432,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Note 8 Pro,184,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Redmi Note 8,139,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi,Xiaomi Mi 9 Lite,245,,,,,,,,,,,,,,,,,,,,,,,,,,
